T (K),P (MPa),Structure,Small Cage Occupancy,Large Cage Occupancy
245.1,0.041742679910390275,II,[3.881575264428409e-38],[0.9975219713581583]
260.4,0.0873389875733429,II,[3.881575264428409e-38],[0.9975219713581583]
261.2,0.0904933203190651,II,[3.881575264428409e-38],[0.9975219713581583]
268.3,0.12246375952497077,II,[3.881575264428409e-38],[0.9975219713581583]
270.8,0.135541819631147,II,[3.881575264428409e-38],[0.9975219713581583]
273.55,0.17811803024152673,II,[3.881575264428409e-38],[0.9975219713581583]
273.89,0.1914090737533928,II,[3.881575264428409e-38],[0.9975219713581583]
274.52,0.218820595894257,II,[3.881575264428409e-38],[0.9975219713581583]
275.47,0.26815477425122974,II,[3.881575264428409e-38],[0.9975219713581583]
276.36,0.32511068191639303,II,[3.881575264428409e-38],[0.9975219713581583]
277.32,0.40143765126525255,II,[3.881575264428409e-38],[0.9975219713581583]
277.87,0.4538606866923731,II,[3.881575264428409e-38],[0.9975219713581583]
278.03,0.4705083004873173,II,[3.881575264428409e-38],[0.9975219713581583]
278.3,0.5001803043444515,II,[3.881575264428409e-38],[0.9975219713581583]
278.52,0.5259296195767627,II,[3.881575264428409e-38],[0.9975219713581583]
